region,product_category,sales_amount,quantity,month
North China,Electronics,158000,45,2024-01
East China,Electronics,245000,68,2024-01
South China,Electronics,189000,52,2024-01
North China,Clothing & Footwear,78000,120,2024-01
East China,Clothing & Footwear,95000,146,2024-01
South China,Clothing & Footwear,67000,98,2024-01
North China,Food & Beverages,56000,230,2024-01
East China,Food & Beverages,89000,365,2024-01
South China,Food & Beverages,72000,285,2024-01
North China,Electronics,162000,48,2024-02
East China,Electronics,268000,75,2024-02
South China,Electronics,195000,55,2024-02
North China,Clothing & Footwear,82000,135,2024-02
East China,Clothing & Footwear,105000,162,2024-02
South China,Clothing & Footwear,71000,108,2024-02
North China,Food & Beverages,61000,255,2024-02
East China,Food & Beverages,94000,390,2024-02
South China,Food & Beverages,78000,308,2024-02
